GeneID	Length	third.sorted.bam
ENSG00000223972	2541	130
ENSG00000227232	15167	14251
ENSG00000278267	68	0
ENSG00000243485	1556	20
ENSG00000284332	138	0
ENSG00000237613	1528	1
ENSG00000268020	840	0
ENSG00000240361	6519	1
ENSG00000186092	6167	0
ENSG00000238009	44429	872
ENSG00000239945	1555	0
ENSG00000233750	3812	262
ENSG00000268903	755	3317
ENSG00000269981	284	1719
ENSG00000239906	550	523
ENSG00000241860	32389	3322
ENSG00000222623	104	0
ENSG00000241599	1080	0
ENSG00000279928	1479	90
ENSG00000279457	10195	11511
ENSG00000273874	68	0
ENSG00000228463	101818	1178
ENSG00000286448	1801	0
ENSG00000236679	385	0
ENSG00000236601	7196	197
ENSG00000237094	157540	12129
ENSG00000269732	363	0
ENSG00000284733	995	0
ENSG00000233653	2806	0
ENSG00000250575	2017	0
ENSG00000278757	104	0
ENSG00000230021	241726	4567
ENSG00000235146	7140	0
ENSG00000225972	372	0
ENSG00000225630	1044	0
ENSG00000237973	1543	0
ENSG00000278791	89	0
ENSG00000229344	682	0
ENSG00000240409	207	0
ENSG00000248527	681	0
ENSG00000198744	547	0
ENSG00000268663	424	0
ENSG00000284662	995	0
ENSG00000229376	2812	0
ENSG00000228327	52742	0
ENSG00000223181	104	0
ENSG00000229905	1079	0
ENSG00000237491	31319	0
ENSG00000285268	114	0
ENSG00000230092	16834	0
ENSG00000177757	2467	0
ENSG00000228794	34309	594
ENSG00000225880	1317	0
ENSG00000288531	7977	10
ENSG00000230368	8833	39
ENSG00000234711	1058	0
ENSG00000283040	2706	0
ENSG00000272438	11143	1668
ENSG00000230699	3514	0
ENSG00000241180	801	0
ENSG00000223764	4152	5062
ENSG00000187634	20654	2210
ENSG00000188976	15107	4826
ENSG00000187961	5136	3588
ENSG00000187583	9384	2900
ENSG00000187642	6890	172
ENSG00000272512	2086	1351
ENSG00000188290	1211	696
ENSG00000187608	13403	1648
ENSG00000231702	154	0
ENSG00000224969	1197	0
ENSG00000188157	35999	27987
ENSG00000242590	1084	0
ENSG00000217801	9648	241
ENSG00000273443	1081	0
ENSG00000237330	3340	25
ENSG00000131591	34544	4406
ENSG00000285812	7014	0
ENSG00000223823	7040	75
ENSG00000207730	95	43
ENSG00000207607	90	28
ENSG00000198976	83	98
ENSG00000272141	987	432
ENSG00000205231	6500	19
ENSG00000162571	24057	141
ENSG00000186891	3085	612
ENSG00000186827	2814	419
ENSG00000078808	15160	3878
ENSG00000176022	2805	404
ENSG00000184163	4277	144
ENSG00000260179	1558	18
ENSG00000160087	19956	1958
ENSG00000230415	5198	61
ENSG00000162572	11594	3338
ENSG00000131584	17220	36401
ENSG00000278073	61	0
ENSG00000169972	3081	425
ENSG00000127054	13103	4618
ENSG00000283712	65	0
ENSG00000240731	1109	0
ENSG00000224051	4141	2556
ENSG00000169962	4035	542
ENSG00000107404	14143	6436
ENSG00000284372	59	0
ENSG00000162576	9089	5599
ENSG00000175756	1766	939
ENSG00000223663	367	1
ENSG00000221978	13625	7459
ENSG00000224870	2527	508
ENSG00000242485	5385	481
ENSG00000264293	293	0
ENSG00000272455	1523	91
ENSG00000235098	3350	74
ENSG00000225905	2447	20
ENSG00000205116	1660	16
ENSG00000225285	4035	675
ENSG00000179403	8022	9169
ENSG00000215915	20475	6113
ENSG00000160072	26084	5195
ENSG00000284740	6203	256
ENSG00000197785	22524	3256
ENSG00000205090	5847	68
ENSG00000160075	33191	2019
ENSG00000215014	2974	16
ENSG00000274481	400	0
ENSG00000228594	2124	417
ENSG00000286989	2390	21
ENSG00000272106	2038	124
ENSG00000197530	15196	6459
ENSG00000189409	3101	157
ENSG00000248333	23786	5123
ENSG00000272004	3278	2
ENSG00000189339	33267	2944
ENSG00000269737	2408	0
ENSG00000215914	1841	171
ENSG00000008128	21979	151
ENSG00000268575	34953	10
ENSG00000227775	12740	0
ENSG00000215790	21162	401
ENSG00000008130	29226	4151
ENSG00000078369	105833	7152
ENSG00000231050	1188	12
ENSG00000169885	2189	432
ENSG00000178821	1690	60
ENSG00000142609	81887	180
ENSG00000233542	2427	17
ENSG00000187730	11430	355
ENSG00000226969	868	3
ENSG00000067606	134985	2401
ENSG00000271806	4196	0
ENSG00000182873	2596	0
ENSG00000162585	28260	1605
ENSG00000234396	8216	302
ENSG00000157933	81895	3359
ENSG00000287356	8046	143
ENSG00000116151	70455	993
ENSG00000272161	493	0
ENSG00000269896	2407	0
ENSG00000272420	568	0
ENSG00000157916	13668	1518
ENSG00000157911	9834	919
ENSG00000149527	79553	725
ENSG00000224387	959	0
ENSG00000229393	1043	0
ENSG00000157881	18061	800
ENSG00000197921	1519	6
ENSG00000272449	17397	370
ENSG00000238164	7112	179
ENSG00000157873	9744	2456
ENSG00000225931	3479	37
ENSG00000228037	2974	33
ENSG00000157870	4979	1644
ENSG00000142606	42378	232
ENSG00000237058	4053	1
ENSG00000215912	165742	272
ENSG00000285945	16643	0
ENSG00000283259	2871	0
ENSG00000233234	843	0
ENSG00000287396	3712	0
ENSG00000231630	567	0
ENSG00000284745	8050	0
ENSG00000169717	1437	0
ENSG00000177133	8823	11
ENSG00000142611	369454	166
ENSG00000283572	61	0
ENSG00000226286	783	0
ENSG00000279839	2677	0
ENSG00000272235	3461	0
ENSG00000287828	10098	0
