GeneID	Length	fifth.sorted.bam
ENSG00000223972	2541	135
ENSG00000227232	15167	15201
ENSG00000278267	68	0
ENSG00000243485	1556	24
ENSG00000284332	138	0
ENSG00000237613	1528	16
ENSG00000268020	840	0
ENSG00000240361	6519	4
ENSG00000186092	6167	4
ENSG00000238009	44429	278
ENSG00000239945	1555	0
ENSG00000233750	3812	155
ENSG00000268903	755	460
ENSG00000269981	284	180
ENSG00000239906	550	26
ENSG00000241860	32389	695
ENSG00000222623	104	0
ENSG00000241599	1080	0
ENSG00000279928	1479	88
ENSG00000279457	10195	11658
ENSG00000273874	68	0
ENSG00000228463	101818	628
ENSG00000286448	1801	0
ENSG00000236679	385	0
ENSG00000236601	7196	16
ENSG00000237094	157540	2503
ENSG00000269732	363	0
ENSG00000284733	995	0
ENSG00000233653	2806	0
ENSG00000250575	2017	0
ENSG00000278757	104	0
ENSG00000230021	241726	2796
ENSG00000235146	7140	0
ENSG00000225972	372	0
ENSG00000225630	1044	0
ENSG00000237973	1543	0
ENSG00000278791	89	0
ENSG00000229344	682	0
ENSG00000240409	207	0
ENSG00000248527	681	0
ENSG00000198744	547	0
ENSG00000268663	424	0
ENSG00000284662	995	0
ENSG00000229376	2812	0
ENSG00000228327	52742	0
ENSG00000223181	104	0
ENSG00000229905	1079	0
ENSG00000237491	31319	0
ENSG00000285268	114	0
ENSG00000230092	16834	0
ENSG00000177757	2467	0
ENSG00000228794	34309	1278
ENSG00000225880	1317	0
ENSG00000288531	7977	9
ENSG00000230368	8833	17
ENSG00000234711	1058	0
ENSG00000283040	2706	0
ENSG00000272438	11143	105
ENSG00000230699	3514	0
ENSG00000241180	801	0
ENSG00000223764	4152	405
ENSG00000187634	20654	546
ENSG00000188976	15107	8031
ENSG00000187961	5136	1521
ENSG00000187583	9384	1980
ENSG00000187642	6890	75
ENSG00000272512	2086	608
ENSG00000188290	1211	2688
ENSG00000187608	13403	922
ENSG00000231702	154	0
ENSG00000224969	1197	0
ENSG00000188157	35999	113627
ENSG00000242590	1084	0
ENSG00000217801	9648	821
ENSG00000273443	1081	0
ENSG00000237330	3340	477
ENSG00000131591	34544	3700
ENSG00000285812	7014	0
ENSG00000223823	7040	206
ENSG00000207730	95	226
ENSG00000207607	90	109
ENSG00000198976	83	339
ENSG00000272141	987	666
ENSG00000205231	6500	18
ENSG00000162571	24057	443
ENSG00000186891	3085	480
ENSG00000186827	2814	637
ENSG00000078808	15160	12266
ENSG00000176022	2805	1922
ENSG00000184163	4277	242
ENSG00000260179	1558	30
ENSG00000160087	19956	3450
ENSG00000230415	5198	66
ENSG00000162572	11594	3310
ENSG00000131584	17220	18771
ENSG00000278073	61	0
ENSG00000169972	3081	447
ENSG00000127054	13103	11461
ENSG00000283712	65	0
ENSG00000240731	1109	0
ENSG00000224051	4141	3667
ENSG00000169962	4035	115
ENSG00000107404	14143	13906
ENSG00000284372	59	0
ENSG00000162576	9089	24996
ENSG00000175756	1766	1429
ENSG00000223663	367	1
ENSG00000221978	13625	10050
ENSG00000224870	2527	1490
ENSG00000242485	5385	1031
ENSG00000264293	293	0
ENSG00000272455	1523	95
ENSG00000235098	3350	1219
ENSG00000225905	2447	24
ENSG00000205116	1660	43
ENSG00000225285	4035	455
ENSG00000179403	8022	16434
ENSG00000215915	20475	1291
ENSG00000160072	26084	6256
ENSG00000284740	6203	189
ENSG00000197785	22524	5120
ENSG00000205090	5847	201
ENSG00000160075	33191	5378
ENSG00000215014	2974	48
ENSG00000274481	400	1
ENSG00000228594	2124	1366
ENSG00000286989	2390	123
ENSG00000272106	2038	408
ENSG00000197530	15196	19023
ENSG00000189409	3101	226
ENSG00000248333	23786	8172
ENSG00000272004	3278	8
ENSG00000189339	33267	8858
ENSG00000269737	2408	0
ENSG00000215914	1841	233
ENSG00000008128	21979	205
ENSG00000268575	34953	31
ENSG00000227775	12740	0
ENSG00000215790	21162	1352
ENSG00000008130	29226	6526
ENSG00000078369	105833	18252
ENSG00000231050	1188	36
ENSG00000169885	2189	127
