GeneID	Length	second.sorted.bam
ENSG00000223972	2541	544
ENSG00000227232	15167	52042
ENSG00000278267	68	0
ENSG00000243485	1556	25
ENSG00000284332	138	0
ENSG00000237613	1528	43
ENSG00000268020	840	1
ENSG00000240361	6519	15
ENSG00000186092	6167	29
ENSG00000238009	44429	887
ENSG00000239945	1555	0
ENSG00000233750	3812	351
ENSG00000268903	755	1444
ENSG00000269981	284	959
ENSG00000239906	550	115
ENSG00000241860	32389	2478
ENSG00000222623	104	0
ENSG00000241599	1080	0
ENSG00000279928	1479	407
ENSG00000279457	10195	40301
ENSG00000273874	68	0
ENSG00000228463	101818	2128
ENSG00000286448	1801	0
ENSG00000236679	385	0
ENSG00000236601	7196	48
ENSG00000237094	157540	7427
ENSG00000269732	363	0
ENSG00000284733	995	0
ENSG00000233653	2806	0
ENSG00000250575	2017	0
ENSG00000278757	104	0
ENSG00000230021	241726	3793
ENSG00000235146	7140	0
ENSG00000225972	372	0
ENSG00000225630	1044	0
ENSG00000237973	1543	0
ENSG00000278791	89	0
ENSG00000229344	682	0
ENSG00000240409	207	0
ENSG00000248527	681	0
ENSG00000198744	547	0
ENSG00000268663	424	0
ENSG00000284662	995	0
ENSG00000229376	2812	0
ENSG00000228327	52742	0
ENSG00000223181	104	0
ENSG00000229905	1079	0
ENSG00000237491	31319	0
ENSG00000285268	114	0
ENSG00000230092	16834	0
ENSG00000177757	2467	0
ENSG00000228794	34309	3743
ENSG00000225880	1317	0
ENSG00000288531	7977	34
ENSG00000230368	8833	45
ENSG00000234711	1058	0
ENSG00000283040	2706	4
ENSG00000272438	11143	408
ENSG00000230699	3514	0
ENSG00000241180	801	0
ENSG00000223764	4152	845
ENSG00000187634	20654	1055
ENSG00000188976	15107	13307
ENSG00000187961	5136	3549
ENSG00000187583	9384	3731
ENSG00000187642	6890	101
ENSG00000272512	2086	795
ENSG00000188290	1211	1353
ENSG00000187608	13403	1499
ENSG00000231702	154	0
ENSG00000224969	1197	0
ENSG00000188157	35999	42739
ENSG00000242590	1084	0
ENSG00000217801	9648	1479
ENSG00000273443	1081	0
ENSG00000237330	3340	158
ENSG00000131591	34544	10287
ENSG00000285812	7014	0
ENSG00000223823	7040	319
ENSG00000207730	95	53
ENSG00000207607	90	55
ENSG00000198976	83	303
ENSG00000272141	987	1227
ENSG00000205231	6500	17
ENSG00000162571	24057	144
ENSG00000186891	3085	351
ENSG00000186827	2814	265
ENSG00000078808	15160	8007
ENSG00000176022	2805	1207
ENSG00000184163	4277	197
ENSG00000260179	1558	32
ENSG00000160087	19956	6027
ENSG00000230415	5198	136
ENSG00000162572	11594	4661
ENSG00000131584	17220	18206
ENSG00000278073	61	0
ENSG00000169972	3081	591
ENSG00000127054	13103	15881
ENSG00000283712	65	0
ENSG00000240731	1109	0
ENSG00000224051	4141	4212
ENSG00000169962	4035	133
ENSG00000107404	14143	12684
ENSG00000284372	59	0
ENSG00000162576	9089	23147
ENSG00000175756	1766	1955
ENSG00000223663	367	2
ENSG00000221978	13625	25367
ENSG00000224870	2527	2123
ENSG00000242485	5385	1498
ENSG00000264293	293	0
ENSG00000272455	1523	319
ENSG00000235098	3350	889
ENSG00000225905	2447	34
ENSG00000205116	1660	35
ENSG00000225285	4035	295
ENSG00000179403	8022	8147
ENSG00000215915	20475	2606
ENSG00000160072	26084	10310
ENSG00000284740	6203	315
ENSG00000197785	22524	5738
ENSG00000205090	5847	162
ENSG00000160075	33191	5598
ENSG00000215014	2974	36
ENSG00000274481	400	0
ENSG00000228594	2124	2486
ENSG00000286989	2390	461
ENSG00000272106	2038	277
ENSG00000197530	15196	12802
ENSG00000189409	3101	759
ENSG00000248333	23786	8098
ENSG00000272004	3278	10
ENSG00000189339	33267	18429
ENSG00000269737	2408	0
ENSG00000215914	1841	709
ENSG00000008128	21979	221
ENSG00000268575	34953	14
ENSG00000227775	12740	0
ENSG00000215790	21162	2788
ENSG00000008130	29226	7046
ENSG00000078369	105833	13269
ENSG00000231050	1188	40
ENSG00000169885	2189	403
ENSG00000178821	1690	107
ENSG00000142609	81887	143
ENSG00000233542	2427	12
ENSG00000187730	11430	192
ENSG00000226969	868	2
ENSG00000067606	134985	3983
ENSG00000271806	4196	0
ENSG00000182873	2596	0
ENSG00000162585	28260	4382
ENSG00000234396	8216	559
ENSG00000157933	81895	6688
ENSG00000287356	8046	179
ENSG00000116151	70455	7680
ENSG00000272161	493	0
ENSG00000269896	2407	0
ENSG00000272420	568	0
ENSG00000157916	13668	4838
ENSG00000157911	9834	2041
ENSG00000149527	79553	3061
