GeneID	Length	forth.sorted.bam
ENSG00000223972	2541	52
ENSG00000227232	15167	14435
ENSG00000278267	68	0
ENSG00000243485	1556	23
ENSG00000284332	138	0
ENSG00000237613	1528	7
ENSG00000268020	840	0
ENSG00000240361	6519	7
ENSG00000186092	6167	6
ENSG00000238009	44429	437
ENSG00000239945	1555	0
ENSG00000233750	3812	170
ENSG00000268903	755	1475
ENSG00000269981	284	512
ENSG00000239906	550	90
ENSG00000241860	32389	1570
ENSG00000222623	104	0
ENSG00000241599	1080	0
ENSG00000279928	1479	30
ENSG00000279457	10195	10887
ENSG00000273874	68	0
ENSG00000228463	101818	802
ENSG00000286448	1801	0
ENSG00000236679	385	0
ENSG00000236601	7196	41
ENSG00000237094	157540	4756
ENSG00000269732	363	0
ENSG00000284733	995	0
ENSG00000233653	2806	0
ENSG00000250575	2017	0
ENSG00000278757	104	0
ENSG00000230021	241726	4857
ENSG00000235146	7140	0
ENSG00000225972	372	0
ENSG00000225630	1044	0
ENSG00000237973	1543	0
ENSG00000278791	89	0
ENSG00000229344	682	0
ENSG00000240409	207	0
ENSG00000248527	681	0
ENSG00000198744	547	0
ENSG00000268663	424	0
ENSG00000284662	995	0
ENSG00000229376	2812	0
ENSG00000228327	52742	0
ENSG00000223181	104	0
ENSG00000229905	1079	0
ENSG00000237491	31319	0
ENSG00000285268	114	0
ENSG00000230092	16834	0
ENSG00000177757	2467	0
ENSG00000228794	34309	1193
ENSG00000225880	1317	0
ENSG00000288531	7977	8
ENSG00000230368	8833	38
ENSG00000234711	1058	0
ENSG00000283040	2706	1
ENSG00000272438	11143	147
ENSG00000230699	3514	0
ENSG00000241180	801	0
ENSG00000223764	4152	225
ENSG00000187634	20654	266
ENSG00000188976	15107	7699
ENSG00000187961	5136	2104
ENSG00000187583	9384	2041
ENSG00000187642	6890	66
ENSG00000272512	2086	709
ENSG00000188290	1211	1566
ENSG00000187608	13403	578
ENSG00000231702	154	0
ENSG00000224969	1197	0
ENSG00000188157	35999	157639
ENSG00000242590	1084	0
ENSG00000217801	9648	958
ENSG00000273443	1081	0
ENSG00000237330	3340	391
ENSG00000131591	34544	3978
ENSG00000285812	7014	0
ENSG00000223823	7040	159
ENSG00000207730	95	313
ENSG00000207607	90	130
ENSG00000198976	83	406
ENSG00000272141	987	766
ENSG00000205231	6500	21
ENSG00000162571	24057	246
ENSG00000186891	3085	323
ENSG00000186827	2814	181
ENSG00000078808	15160	12644
ENSG00000176022	2805	1663
ENSG00000184163	4277	241
ENSG00000260179	1558	18
ENSG00000160087	19956	2894
ENSG00000230415	5198	70
ENSG00000162572	11594	3117
ENSG00000131584	17220	21213
ENSG00000278073	61	0
ENSG00000169972	3081	469
ENSG00000127054	13103	10113
ENSG00000283712	65	0
ENSG00000240731	1109	0
ENSG00000224051	4141	4586
ENSG00000169962	4035	141
ENSG00000107404	14143	12451
ENSG00000284372	59	0
ENSG00000162576	9089	14038
ENSG00000175756	1766	1632
ENSG00000223663	367	2
ENSG00000221978	13625	8804
ENSG00000224870	2527	1240
ENSG00000242485	5385	954
ENSG00000264293	293	0
ENSG00000272455	1523	79
ENSG00000235098	3350	1379
ENSG00000225905	2447	22
ENSG00000205116	1660	37
ENSG00000225285	4035	689
ENSG00000179403	8022	16211
ENSG00000215915	20475	1178
ENSG00000160072	26084	4641
ENSG00000284740	6203	89
ENSG00000197785	22524	4249
ENSG00000205090	5847	123
ENSG00000160075	33191	5359
ENSG00000215014	2974	32
ENSG00000274481	400	0
ENSG00000228594	2124	2577
ENSG00000286989	2390	177
ENSG00000272106	2038	406
ENSG00000197530	15196	14405
ENSG00000189409	3101	890
ENSG00000248333	23786	6875
ENSG00000272004	3278	3
ENSG00000189339	33267	10926
ENSG00000269737	2408	0
ENSG00000215914	1841	833
ENSG00000008128	21979	145
ENSG00000268575	34953	11
ENSG00000227775	12740	0
ENSG00000215790	21162	1845
