GeneID	Length	third.sorted.bam
ENSG00000223972	1735	128
ENSG00000227232	1351	8317
ENSG00000278267	68	280
ENSG00000243485	1021	17
ENSG00000284332	138	0
ENSG00000237613	1219	1
ENSG00000268020	840	0
ENSG00000240361	1414	0
ENSG00000186092	2618	0
ENSG00000238009	3726	211
ENSG00000239945	1319	0
ENSG00000233750	3812	640
ENSG00000268903	755	3516
ENSG00000269981	284	2057
ENSG00000239906	323	442
ENSG00000241860	7559	1428
ENSG00000222623	104	24
ENSG00000241599	457	72
ENSG00000279928	570	80
ENSG00000279457	1397	8181
ENSG00000273874	68	241
ENSG00000228463	8224	511
ENSG00000286448	736	13
ENSG00000236679	385	51
ENSG00000236601	1095	41
ENSG00000237094	6204	5254
ENSG00000269732	363	0
ENSG00000284733	995	3
ENSG00000233653	2477	322
ENSG00000250575	1239	5425
ENSG00000278757	104	22
ENSG00000230021	5495	811
ENSG00000235146	635	8
ENSG00000225972	372	7396
ENSG00000225630	1044	53014
ENSG00000237973	1543	505341
ENSG00000278791	89	0
ENSG00000229344	682	15120
ENSG00000240409	207	582
ENSG00000248527	681	128677
ENSG00000198744	547	43806
ENSG00000268663	424	0
ENSG00000284662	995	2
ENSG00000229376	2455	305
ENSG00000228327	6432	12908
ENSG00000223181	104	15
ENSG00000229905	456	48
ENSG00000237491	8413	402
ENSG00000285268	114	0
ENSG00000230092	872	13
ENSG00000177757	1947	11
ENSG00000228794	15682	359
ENSG00000225880	1317	43
ENSG00000288531	3292	14
ENSG00000230368	1971	26
ENSG00000234711	1058	118
ENSG00000283040	837	1
ENSG00000272438	351	158
ENSG00000230699	3043	1214
ENSG00000241180	443	3
ENSG00000223764	4152	5068
ENSG00000187634	4173	1569
ENSG00000188976	5540	4534
ENSG00000187961	3402	3506
ENSG00000187583	3451	2465
ENSG00000187642	3424	147
ENSG00000272512	2086	1351
ENSG00000188290	1118	699
ENSG00000187608	867	1234
ENSG00000231702	154	3
ENSG00000224969	471	22
ENSG00000188157	10761	29454
ENSG00000242590	402	0
ENSG00000217801	2203	130
ENSG00000273443	829	15
ENSG00000237330	1900	18
ENSG00000131591	6322	2800
ENSG00000285812	1095	119
ENSG00000223823	1620	27
ENSG00000207730	95	43
ENSG00000207607	90	28
ENSG00000198976	83	98
ENSG00000272141	987	432
ENSG00000205231	3532	49
ENSG00000162571	3998	66
ENSG00000186891	1271	359
ENSG00000186827	1722	409
ENSG00000078808	4745	3620
ENSG00000176022	2805	404
ENSG00000184163	1794	110
ENSG00000260179	1558	19
ENSG00000160087	4691	998
ENSG00000230415	513	43
ENSG00000162572	4025	2673
ENSG00000131584	8707	30194
ENSG00000278073	61	0
ENSG00000169972	2459	537
ENSG00000127054	8216	4504
ENSG00000283712	65	0
ENSG00000240731	386	59
ENSG00000224051	2555	2532
ENSG00000169962	3475	540
ENSG00000107404	3882	5908
ENSG00000284372	59	0
ENSG00000162576	3622	4648
ENSG00000175756	1669	939
ENSG00000223663	367	1
ENSG00000221978	6857	7366
ENSG00000224870	2527	508
ENSG00000242485	2767	373
ENSG00000264293	293	0
ENSG00000272455	1523	95
ENSG00000235098	2644	89
ENSG00000225905	543	11
ENSG00000205116	492	8
ENSG00000225285	851	337
ENSG00000179403	5065	8719
ENSG00000215915	3981	5359
ENSG00000160072	7686	4516
ENSG00000284740	660	220
ENSG00000197785	3344	2234
ENSG00000205090	2009	31
ENSG00000160075	6919	1624
ENSG00000215014	2349	19
ENSG00000274481	400	0
ENSG00000228594	2124	417
ENSG00000286989	1830	20
ENSG00000272106	2038	126
ENSG00000197530	8767	5749
