GeneID	Length	sixth.sorted.bam
ENSG00000223972	2541	109
ENSG00000227232	15167	10437
ENSG00000278267	68	0
ENSG00000243485	1556	18
ENSG00000284332	138	0
ENSG00000237613	1528	11
ENSG00000268020	840	0
ENSG00000240361	6519	2
ENSG00000186092	6167	2
ENSG00000238009	44429	284
ENSG00000239945	1555	0
ENSG00000233750	3812	109
ENSG00000268903	755	364
ENSG00000269981	284	177
ENSG00000239906	550	26
ENSG00000241860	32389	704
ENSG00000222623	104	0
ENSG00000241599	1080	0
ENSG00000279928	1479	86
ENSG00000279457	10195	8439
ENSG00000273874	68	0
ENSG00000228463	101818	677
ENSG00000286448	1801	0
ENSG00000236679	385	0
ENSG00000236601	7196	11
ENSG00000237094	157540	2236
ENSG00000269732	363	0
ENSG00000284733	995	0
ENSG00000233653	2806	0
ENSG00000250575	2017	0
ENSG00000278757	104	0
ENSG00000230021	241726	2066
ENSG00000235146	7140	0
ENSG00000225972	372	0
ENSG00000225630	1044	0
ENSG00000237973	1543	0
ENSG00000278791	89	0
ENSG00000229344	682	0
ENSG00000240409	207	0
ENSG00000248527	681	0
ENSG00000198744	547	0
ENSG00000268663	424	0
ENSG00000284662	995	0
ENSG00000229376	2812	0
ENSG00000228327	52742	0
ENSG00000223181	104	0
ENSG00000229905	1079	0
ENSG00000237491	31319	0
ENSG00000285268	114	0
ENSG00000230092	16834	0
ENSG00000177757	2467	0
ENSG00000228794	34309	1029
ENSG00000225880	1317	0
ENSG00000288531	7977	9
ENSG00000230368	8833	26
ENSG00000234711	1058	0
ENSG00000283040	2706	2
ENSG00000272438	11143	228
ENSG00000230699	3514	0
ENSG00000241180	801	0
ENSG00000223764	4152	75
ENSG00000187634	20654	53
ENSG00000188976	15107	6948
ENSG00000187961	5136	1004
ENSG00000187583	9384	793
ENSG00000187642	6890	21
ENSG00000272512	2086	682
ENSG00000188290	1211	920
ENSG00000187608	13403	348
ENSG00000231702	154	0
ENSG00000224969	1197	0
ENSG00000188157	35999	79894
ENSG00000242590	1084	0
ENSG00000217801	9648	306
ENSG00000273443	1081	0
ENSG00000237330	3340	165
ENSG00000131591	34544	2473
ENSG00000285812	7014	0
ENSG00000223823	7040	46
ENSG00000207730	95	76
ENSG00000207607	90	44
ENSG00000198976	83	140
ENSG00000272141	987	293
ENSG00000205231	6500	8
ENSG00000162571	24057	134
ENSG00000186891	3085	134
ENSG00000186827	2814	234
ENSG00000078808	15160	8847
ENSG00000176022	2805	1708
ENSG00000184163	4277	66
ENSG00000260179	1558	6
ENSG00000160087	19956	2451
ENSG00000230415	5198	44
ENSG00000162572	11594	1966
ENSG00000131584	17220	11328
ENSG00000278073	61	0
ENSG00000169972	3081	255
ENSG00000127054	13103	8733
ENSG00000283712	65	0
ENSG00000240731	1109	0
ENSG00000224051	4141	3191
ENSG00000169962	4035	117
ENSG00000107404	14143	11603
ENSG00000284372	59	0
ENSG00000162576	9089	16624
ENSG00000175756	1766	1121
ENSG00000223663	367	0
ENSG00000221978	13625	5645
ENSG00000224870	2527	1090
