GeneID	Length	first.sorted.bam
ENSG00000223972	2541	71
ENSG00000227232	15167	21549
ENSG00000278267	68	0
ENSG00000243485	1556	20
ENSG00000284332	138	0
ENSG00000237613	1528	24
ENSG00000268020	840	7
ENSG00000240361	6519	25
ENSG00000186092	6167	19
ENSG00000238009	44429	516
ENSG00000239945	1555	0
ENSG00000233750	3812	182
ENSG00000268903	755	805
ENSG00000269981	284	169
ENSG00000239906	550	17
ENSG00000241860	32389	967
ENSG00000222623	104	0
ENSG00000241599	1080	0
ENSG00000279928	1479	26
ENSG00000279457	10195	17421
ENSG00000273874	68	0
ENSG00000228463	101818	884
ENSG00000286448	1801	0
ENSG00000236679	385	0
ENSG00000236601	7196	44
ENSG00000237094	157540	2831
ENSG00000269732	363	0
ENSG00000284733	995	0
ENSG00000233653	2806	0
ENSG00000250575	2017	0
ENSG00000278757	104	0
ENSG00000230021	241726	8147
ENSG00000235146	7140	0
ENSG00000225972	372	0
ENSG00000225630	1044	0
ENSG00000237973	1543	0
ENSG00000278791	89	0
ENSG00000229344	682	0
ENSG00000240409	207	0
ENSG00000248527	681	0
ENSG00000198744	547	0
ENSG00000268663	424	0
ENSG00000284662	995	0
ENSG00000229376	2812	0
ENSG00000228327	52742	0
ENSG00000223181	104	0
ENSG00000229905	1079	0
ENSG00000237491	31319	0
ENSG00000285268	114	0
ENSG00000230092	16834	0
ENSG00000177757	2467	0
ENSG00000228794	34309	796
ENSG00000225880	1317	0
ENSG00000288531	7977	7
ENSG00000230368	8833	21
ENSG00000234711	1058	0
ENSG00000283040	2706	0
ENSG00000272438	11143	890
ENSG00000230699	3514	0
ENSG00000241180	801	0
ENSG00000223764	4152	668
ENSG00000187634	20654	909
ENSG00000188976	15107	3088
ENSG00000187961	5136	1545
ENSG00000187583	9384	3939
ENSG00000187642	6890	671
ENSG00000272512	2086	313
ENSG00000188290	1211	823
ENSG00000187608	13403	2369
ENSG00000231702	154	0
ENSG00000224969	1197	0
ENSG00000188157	35999	12238
ENSG00000242590	1084	0
ENSG00000217801	9648	376
ENSG00000273443	1081	0
ENSG00000237330	3340	120
ENSG00000131591	34544	4672
ENSG00000285812	7014	0
ENSG00000223823	7040	28
ENSG00000207730	95	54
ENSG00000207607	90	31
ENSG00000198976	83	227
ENSG00000272141	987	966
ENSG00000205231	6500	10
ENSG00000162571	24057	75
ENSG00000186891	3085	379
ENSG00000186827	2814	210
ENSG00000078808	15160	2237
ENSG00000176022	2805	307
ENSG00000184163	4277	129
ENSG00000260179	1558	10
ENSG00000160087	19956	2228
ENSG00000230415	5198	40
ENSG00000162572	11594	1852
ENSG00000131584	17220	8880
ENSG00000278073	61	0
ENSG00000169972	3081	289
ENSG00000127054	13103	4823
ENSG00000283712	65	0
ENSG00000240731	1109	0
ENSG00000224051	4141	1018
ENSG00000169962	4035	68
ENSG00000107404	14143	4632
ENSG00000284372	59	0
ENSG00000162576	9089	8565
ENSG00000175756	1766	941
ENSG00000223663	367	7
ENSG00000221978	13625	5624
ENSG00000224870	2527	442
ENSG00000242485	5385	666
ENSG00000264293	293	0
ENSG00000272455	1523	35
ENSG00000235098	3350	145
ENSG00000225905	2447	9
ENSG00000205116	1660	16
ENSG00000225285	4035	531
ENSG00000179403	8022	5494
ENSG00000215915	20475	2174
ENSG00000160072	26084	2256
ENSG00000284740	6203	162
ENSG00000197785	22524	1767
ENSG00000205090	5847	42
ENSG00000160075	33191	1303
ENSG00000215014	2974	9
ENSG00000274481	400	3
ENSG00000228594	2124	281
ENSG00000286989	2390	72
ENSG00000272106	2038	36
ENSG00000197530	15196	4781
ENSG00000189409	3101	478
ENSG00000248333	23786	7643
ENSG00000272004	3278	7
ENSG00000189339	33267	2691
ENSG00000269737	2408	0
ENSG00000215914	1841	421
ENSG00000008128	21979	208
ENSG00000268575	34953	38
ENSG00000227775	12740	0
ENSG00000215790	21162	464
ENSG00000008130	29226	2331
ENSG00000078369	105833	4452
ENSG00000231050	1188	21
ENSG00000169885	2189	58
ENSG00000178821	1690	111
ENSG00000142609	81887	808
ENSG00000233542	2427	2
ENSG00000187730	11430	75
ENSG00000226969	868	0
ENSG00000067606	134985	1833
ENSG00000271806	4196	0
ENSG00000182873	2596	0
ENSG00000162585	28260	866
ENSG00000234396	8216	89
ENSG00000157933	81895	3141
ENSG00000287356	8046	217
ENSG00000116151	70455	890
ENSG00000272161	493	0
ENSG00000269896	2407	0
ENSG00000272420	568	0
ENSG00000157916	13668	1108
ENSG00000157911	9834	355
ENSG00000149527	79553	453
ENSG00000224387	959	0
ENSG00000229393	1043	0
ENSG00000157881	18061	370
ENSG00000197921	1519	0
ENSG00000272449	17397	83
ENSG00000238164	7112	186
ENSG00000157873	9744	2832
ENSG00000225931	3479	45
ENSG00000228037	2974	19
ENSG00000157870	4979	212
ENSG00000142606	42378	163
ENSG00000237058	4053	2
ENSG00000215912	165742	131
ENSG00000285945	16643	0
ENSG00000283259	2871	0
ENSG00000233234	843	1
ENSG00000287396	3712	0
ENSG00000231630	567	0
ENSG00000284745	8050	1
ENSG00000169717	1437	0
ENSG00000177133	8823	4
ENSG00000142611	369454	189
ENSG00000283572	61	0
ENSG00000226286	783	0
ENSG00000279839	2677	0
ENSG00000272235	3461	0
ENSG00000287828	10098	0
ENSG00000286518	6114	0
ENSG00000130762	26449	4537
ENSG00000272088	382	5
ENSG00000162591	123558	3245
ENSG00000207776	96	0
ENSG00000238260	1554	75
ENSG00000158109	5113	130
ENSG00000116213	21995	372
ENSG00000078900	83686	858
ENSG00000227589	9835	0
ENSG00000235131	2099	0
ENSG00000227372	11863	304
ENSG00000276189	161	0
