GeneID	Length	fifth.sorted.bam
ENSG00000223972	1735	123
ENSG00000227232	1351	9258
ENSG00000278267	68	254
ENSG00000243485	1021	24
ENSG00000284332	138	0
ENSG00000237613	1219	11
ENSG00000268020	840	0
ENSG00000240361	1414	1
ENSG00000186092	2618	1
ENSG00000238009	3726	107
ENSG00000239945	1319	0
ENSG00000233750	3812	473
ENSG00000268903	755	499
ENSG00000269981	284	203
ENSG00000239906	323	21
ENSG00000241860	7559	383
ENSG00000222623	104	5
ENSG00000241599	457	3
ENSG00000279928	570	80
ENSG00000279457	1397	9081
ENSG00000273874	68	217
ENSG00000228463	8224	307
ENSG00000286448	736	0
ENSG00000236679	385	40
ENSG00000236601	1095	2
ENSG00000237094	6204	1211
ENSG00000269732	363	4
ENSG00000284733	995	3
ENSG00000233653	2477	298
ENSG00000250575	1239	1027
ENSG00000278757	104	2
ENSG00000230021	5495	225
ENSG00000235146	635	0
ENSG00000225972	372	15965
ENSG00000225630	1044	42168
ENSG00000237973	1543	400843
ENSG00000278791	89	0
ENSG00000229344	682	11720
ENSG00000240409	207	500
ENSG00000248527	681	129312
ENSG00000198744	547	28088
ENSG00000268663	424	5
ENSG00000284662	995	4
ENSG00000229376	2455	291
ENSG00000228327	6432	3505
ENSG00000223181	104	5
ENSG00000229905	456	7
ENSG00000237491	8413	295
ENSG00000285268	114	0
ENSG00000230092	872	21
ENSG00000177757	1947	27
ENSG00000228794	15682	1039
ENSG00000225880	1317	38
ENSG00000288531	3292	9
ENSG00000230368	1971	13
ENSG00000234711	1058	70
ENSG00000283040	837	0
ENSG00000272438	351	7
ENSG00000230699	3043	41
ENSG00000241180	443	0
ENSG00000223764	4152	405
ENSG00000187634	4173	435
ENSG00000188976	5540	7636
ENSG00000187961	3402	1477
ENSG00000187583	3451	1687
ENSG00000187642	3424	65
ENSG00000272512	2086	609
ENSG00000188290	1118	2687
ENSG00000187608	867	375
ENSG00000231702	154	0
ENSG00000224969	471	14
ENSG00000188157	10761	117650
ENSG00000242590	402	0
ENSG00000217801	2203	349
ENSG00000273443	829	20
ENSG00000237330	1900	435
ENSG00000131591	6322	2855
ENSG00000285812	1095	42
ENSG00000223823	1620	71
ENSG00000207730	95	226
ENSG00000207607	90	109
ENSG00000198976	83	339
ENSG00000272141	987	666
ENSG00000205231	3532	60
ENSG00000162571	3998	287
ENSG00000186891	1271	327
ENSG00000186827	1722	606
ENSG00000078808	4745	11630
ENSG00000176022	2805	1923
ENSG00000184163	1794	194
ENSG00000260179	1558	39
ENSG00000160087	4691	2558
ENSG00000230415	513	47
ENSG00000162572	4025	2984
ENSG00000131584	8707	17087
ENSG00000278073	61	0
ENSG00000169972	2459	637
ENSG00000127054	8216	11232
ENSG00000283712	65	0
