GeneID	Length	second.sorted.bam
ENSG00000223972	1735	492
ENSG00000227232	1351	21605
ENSG00000278267	68	974
ENSG00000243485	1021	22
ENSG00000284332	138	0
ENSG00000237613	1219	35
ENSG00000268020	840	1
ENSG00000240361	1414	4
ENSG00000186092	2618	22
ENSG00000238009	3726	202
ENSG00000239945	1319	0
ENSG00000233750	3812	1763
ENSG00000268903	755	1577
ENSG00000269981	284	1029
ENSG00000239906	323	97
ENSG00000241860	7559	1186
ENSG00000222623	104	6
ENSG00000241599	457	29
ENSG00000279928	570	348
ENSG00000279457	1397	23362
ENSG00000273874	68	880
ENSG00000228463	8224	992
ENSG00000286448	736	2
ENSG00000236679	385	65
ENSG00000236601	1095	8
ENSG00000237094	6204	3151
ENSG00000269732	363	4
ENSG00000284733	995	11
ENSG00000233653	2477	1423
ENSG00000250575	1239	3547
ENSG00000278757	104	5
ENSG00000230021	5495	583
ENSG00000235146	635	1
ENSG00000225972	372	5696
ENSG00000225630	1044	21254
ENSG00000237973	1543	435586
ENSG00000278791	89	0
ENSG00000229344	682	10950
ENSG00000240409	207	153
ENSG00000248527	681	93947
ENSG00000198744	547	22251
ENSG00000268663	424	2
ENSG00000284662	995	14
ENSG00000229376	2455	1502
ENSG00000228327	6432	10758
ENSG00000223181	104	2
ENSG00000229905	456	29
ENSG00000237491	8413	609
ENSG00000285268	114	0
ENSG00000230092	872	28
ENSG00000177757	1947	23
ENSG00000228794	15682	2796
ENSG00000225880	1317	160
ENSG00000288531	3292	23
ENSG00000230368	1971	36
ENSG00000234711	1058	88
ENSG00000283040	837	4
ENSG00000272438	351	29
ENSG00000230699	3043	246
ENSG00000241180	443	1
ENSG00000223764	4152	845
ENSG00000187634	4173	703
ENSG00000188976	5540	11599
ENSG00000187961	3402	3469
ENSG00000187583	3451	2329
ENSG00000187642	3424	96
ENSG00000272512	2086	795
ENSG00000188290	1118	1352
ENSG00000187608	867	393
ENSG00000231702	154	9
ENSG00000224969	471	26
ENSG00000188157	10761	50723
ENSG00000242590	402	0
ENSG00000217801	2203	740
ENSG00000273443	829	37
ENSG00000237330	1900	113
ENSG00000131591	6322	6246
ENSG00000285812	1095	140
ENSG00000223823	1620	96
ENSG00000207730	95	53
ENSG00000207607	90	55
ENSG00000198976	83	303
ENSG00000272141	987	1228
ENSG00000205231	3532	50
ENSG00000162571	3998	57
ENSG00000186891	1271	222
ENSG00000186827	1722	253
ENSG00000078808	4745	7045
ENSG00000176022	2805	1209
ENSG00000184163	1794	144
ENSG00000260179	1558	37
ENSG00000160087	4691	2511
ENSG00000230415	513	92
ENSG00000162572	4025	3810
ENSG00000131584	8707	15306
ENSG00000278073	61	0
ENSG00000169972	2459	673
ENSG00000127054	8216	15448
ENSG00000283712	65	0
ENSG00000240731	386	140
ENSG00000224051	2555	4139
ENSG00000169962	3475	136
ENSG00000107404	3882	10909
ENSG00000284372	59	0
ENSG00000162576	3622	18420
ENSG00000175756	1669	1955
ENSG00000223663	367	3
ENSG00000221978	6857	24915
ENSG00000224870	2527	2124
ENSG00000242485	2767	1085
ENSG00000264293	293	0
ENSG00000272455	1523	325
ENSG00000235098	2644	957
ENSG00000225905	543	14
ENSG00000205116	492	24
ENSG00000225285	851	115
ENSG00000179403	5065	7801
ENSG00000215915	3981	1976
ENSG00000160072	7686	8342
ENSG00000284740	660	171
ENSG00000197785	3344	3573
ENSG00000205090	2009	88
ENSG00000160075	6919	4099
ENSG00000215014	2349	41
ENSG00000274481	400	0
ENSG00000228594	2124	2487
ENSG00000286989	1830	408
ENSG00000272106	2038	288
ENSG00000197530	8767	11011
ENSG00000189409	2205	805
ENSG00000248333	3488	6307
ENSG00000272004	400	2
ENSG00000189339	8462	20970
ENSG00000269737	1819	539
ENSG00000215914	1017	656
ENSG00000008128	5085	1985
ENSG00000268575	5079	439
ENSG00000227775	2759	154
ENSG00000215790	7713	9700
ENSG00000008130	5570	5853
ENSG00000078369	6417	7419
ENSG00000231050	906	36
ENSG00000169885	2040	403
ENSG00000178821	1600	107
ENSG00000142609	10422	22
ENSG00000233542	2063	13
ENSG00000187730	5525	164
ENSG00000226969	538	2
ENSG00000067606	7695	1095
ENSG00000271806	4196	79
ENSG00000182873	1734	582
ENSG00000162585	10916	3619
ENSG00000234396	326	6
ENSG00000157933	6550	3167
ENSG00000287356	5794	302
ENSG00000116151	11337	2163
ENSG00000272161	493	47
ENSG00000269896	2407	1030
ENSG00000272420	568	37
ENSG00000157916	5689	3166
ENSG00000157911	3782	1546
ENSG00000149527	10809	2842
ENSG00000224387	455	15
ENSG00000229393	514	21
ENSG00000157881	5072	1341
ENSG00000197921	1324	14
ENSG00000272449	1531	131
ENSG00000238164	6137	1127
ENSG00000157873	6219	16336
ENSG00000225931	1297	101
ENSG00000228037	626	21
ENSG00000157870	3371	4683
ENSG00000142606	3870	338
ENSG00000237058	373	0
ENSG00000215912	8814	839
ENSG00000285945	593	91
ENSG00000283259	1565	228
ENSG00000233234	607	0
ENSG00000287396	663	0
ENSG00000231630	429	0
ENSG00000284745	1654	4
ENSG00000169717	1437	3
ENSG00000177133	5600	78
ENSG00000142611	9767	136
ENSG00000283572	61	0
ENSG00000226286	469	3
ENSG00000279839	2677	10
ENSG00000272235	3461	10
ENSG00000287828	728	10
ENSG00000286518	2784	2
ENSG00000130762	5324	7691
ENSG00000272088	382	12
ENSG00000162591	9021	12245
ENSG00000207776	96	1
ENSG00000238260	622	134
ENSG00000158109	2401	1266
ENSG00000116213	7634	2128
ENSG00000078900	6767	392
ENSG00000227589	754	3
ENSG00000235131	351	3
ENSG00000227372	9701	4433
ENSG00000276189	161	0
ENSG00000162592	4238	33
ENSG00000235169	1087	56
ENSG00000130764	4509	1638
ENSG00000266075	297	14
ENSG00000272153	531	143
ENSG00000116198	7871	2495
ENSG00000169598	3870	516
ENSG00000198912	4388	1458
ENSG00000236423	4084	224
ENSG00000233304	5054	8
ENSG00000226374	2168	0
ENSG00000284668	1835	2
ENSG00000284703	4817	4
ENSG00000229280	372	2
ENSG00000235054	2574	4
ENSG00000284694	3402	4
ENSG00000227169	356	0
ENSG00000232596	3328	9
ENSG00000196581	12528	55
ENSG00000287586	3225	6
ENSG00000284739	464	0
ENSG00000284674	1580	0
ENSG00000231510	449	1
ENSG00000284616	1225	0
ENSG00000284692	2316	4
ENSG00000284666	609	0
ENSG00000260972	1697	0
ENSG00000283356	135	0
ENSG00000236948	1095	5
ENSG00000264341	73	1
ENSG00000264101	70	0
ENSG00000131697	13167	2527
ENSG00000069424	17329	1498
ENSG00000116254	10094	51
ENSG00000285629	663	0
ENSG00000116251	4665	3439
ENSG00000226944	378	26
ENSG00000158286	6595	2719
ENSG00000116237	4910	2133
ENSG00000225077	2358	17
ENSG00000173673	710	0
ENSG00000158292	4198	2844
ENSG00000097021	4124	597
ENSG00000271746	837	0
ENSG00000069812	5407	305
ENSG00000187017	6952	3727
ENSG00000265392	63	7
ENSG00000231868	351	377
ENSG00000215788	4283	5274
ENSG00000171680	7053	6082
ENSG00000162408	7271	1919
ENSG00000253022	111	10
ENSG00000229519	401	32
ENSG00000173662	2764	51
ENSG00000204859	4510	6152
ENSG00000162413	6901	5793
ENSG00000116273	3632	1085
ENSG00000041988	4072	1025
ENSG00000007923	5083	2811
ENSG00000228750	2188	6
ENSG00000284744	987	6
ENSG00000237436	415	7
ENSG00000171735	9903	1041
ENSG00000227950	286	4
ENSG00000237365	349	3
ENSG00000207056	165	1
ENSG00000237402	365	0
ENSG00000237728	744	3
ENSG00000225126	361	4
ENSG00000270171	1721	40
ENSG00000270035	570	29
ENSG00000269978	267	42
ENSG00000049245	2733	1287
ENSG00000269925	393	47
ENSG00000049246	8099	955
ENSG00000236266	830	27
ENSG00000049247	1791	2
ENSG00000049249	6354	43
ENSG00000270330	355	0
